Starting 1 populate thread(s) for 500000 items
Finished load of 500000 items
Load time: 0.16
load ops/sec: 3105590
Starting workload #1: 4 threads, inserts=0, modifies=0, reads=50, truncate=0, updates=50, throttle=0
0 inserts, 0 modifies, 263861 reads, 0 truncates, 263862 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (80 total secs)
0 inserts, 0 modifies, 232515 reads, 0 truncates, 232515 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (82 total secs)
0 inserts, 0 modifies, 308718 reads, 0 truncates, 308718 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (84 total secs)
0 inserts, 0 modifies, 291539 reads, 0 truncates, 291536 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (86 total secs)
0 inserts, 0 modifies, 281088 reads, 0 truncates, 281088 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (88 total secs)
0 inserts, 0 modifies, 305549 reads, 0 truncates, 305551 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (90 total secs)
0 inserts, 0 modifies, 293495 reads, 0 truncates, 293496 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (92 total secs)
0 inserts, 0 modifies, 292581 reads, 0 truncates, 292579 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (94 total secs)
0 inserts, 0 modifies, 256032 reads, 0 truncates, 256034 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (96 total secs)
0 inserts, 0 modifies, 321654 reads, 0 truncates, 321655 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (98 total secs)
0 inserts, 0 modifies, 249775 reads, 0 truncates, 249773 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (100 total secs)
0 inserts, 0 modifies, 307034 reads, 0 truncates, 307036 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (102 total secs)
0 inserts, 0 modifies, 311689 reads, 0 truncates, 311688 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (104 total secs)
0 inserts, 0 modifies, 212510 reads, 0 truncates, 212509 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (106 total secs)
0 inserts, 0 modifies, 316964 reads, 0 truncates, 316963 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (108 total secs)
0 inserts, 0 modifies, 317523 reads, 0 truncates, 317523 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (110 total secs)
0 inserts, 0 modifies, 237928 reads, 0 truncates, 237928 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (112 total secs)
0 inserts, 0 modifies, 229426 reads, 0 truncates, 229429 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (114 total secs)
0 inserts, 0 modifies, 314359 reads, 0 truncates, 314357 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (116 total secs)
0 inserts, 0 modifies, 198428 reads, 0 truncates, 198429 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (118 total secs)
0 inserts, 0 modifies, 319315 reads, 0 truncates, 319313 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (120 total secs)
0 inserts, 0 modifies, 314546 reads, 0 truncates, 314547 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (122 total secs)
0 inserts, 0 modifies, 232127 reads, 0 truncates, 232127 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (124 total secs)
0 inserts, 0 modifies, 304463 reads, 0 truncates, 304462 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (126 total secs)
0 inserts, 0 modifies, 304531 reads, 0 truncates, 304532 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (128 total secs)
0 inserts, 0 modifies, 322558 reads, 0 truncates, 322556 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (130 total secs)
0 inserts, 0 modifies, 131997 reads, 0 truncates, 131998 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (132 total secs)
0 inserts, 0 modifies, 318256 reads, 0 truncates, 318258 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (134 total secs)
0 inserts, 0 modifies, 274156 reads, 0 truncates, 274155 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (136 total secs)
0 inserts, 0 modifies, 194516 reads, 0 truncates, 194516 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (138 total secs)
0 inserts, 0 modifies, 255653 reads, 0 truncates, 255653 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (140 total secs)
0 inserts, 0 modifies, 314957 reads, 0 truncates, 314956 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (142 total secs)
0 inserts, 0 modifies, 309877 reads, 0 truncates, 309878 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (144 total secs)
0 inserts, 0 modifies, 277345 reads, 0 truncates, 277344 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (146 total secs)
0 inserts, 0 modifies, 318585 reads, 0 truncates, 318587 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (148 total secs)
