Starting 1 populate thread(s) for 500000 items
Finished load of 500000 items
Load time: 0.17
load ops/sec: 2923976
Starting workload #1: 4 threads, inserts=0, modifies=0, reads=50, truncate=0, updates=50, throttle=0
0 inserts, 0 modifies, 305251 reads, 0 truncates, 305251 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (80 total secs)
0 inserts, 0 modifies, 301120 reads, 0 truncates, 301120 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (82 total secs)
0 inserts, 0 modifies, 321730 reads, 0 truncates, 321729 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (84 total secs)
0 inserts, 0 modifies, 268768 reads, 0 truncates, 268768 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (86 total secs)
0 inserts, 0 modifies, 282209 reads, 0 truncates, 282208 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (88 total secs)
0 inserts, 0 modifies, 301774 reads, 0 truncates, 301774 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (90 total secs)
0 inserts, 0 modifies, 281631 reads, 0 truncates, 281634 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (92 total secs)
0 inserts, 0 modifies, 322723 reads, 0 truncates, 322720 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (94 total secs)
0 inserts, 0 modifies, 220204 reads, 0 truncates, 220206 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (96 total secs)
0 inserts, 0 modifies, 313983 reads, 0 truncates, 313982 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (98 total secs)
0 inserts, 0 modifies, 308490 reads, 0 truncates, 308493 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (100 total secs)
0 inserts, 0 modifies, 278774 reads, 0 truncates, 278772 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (102 total secs)
0 inserts, 0 modifies, 275243 reads, 0 truncates, 275244 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (104 total secs)
0 inserts, 0 modifies, 257356 reads, 0 truncates, 257354 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (106 total secs)
0 inserts, 0 modifies, 254025 reads, 0 truncates, 254027 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (108 total secs)
0 inserts, 0 modifies, 297672 reads, 0 truncates, 297671 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (110 total secs)
0 inserts, 0 modifies, 321866 reads, 0 truncates, 321867 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (112 total secs)
0 inserts, 0 modifies, 174160 reads, 0 truncates, 174157 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (114 total secs)
0 inserts, 0 modifies, 322672 reads, 0 truncates, 322673 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (116 total secs)
0 inserts, 0 modifies, 278158 reads, 0 truncates, 278158 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (118 total secs)
0 inserts, 0 modifies, 306136 reads, 0 truncates, 306139 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (120 total secs)
0 inserts, 0 modifies, 228688 reads, 0 truncates, 228684 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (122 total secs)
