Starting 1 populate thread(s) for 500000 items
Finished load of 500000 items
Load time: 0.17
load ops/sec: 2923976
Starting workload #1: 4 threads, inserts=0, modifies=0, reads=50, truncate=0, updates=50, throttle=0
0 inserts, 0 modifies, 226014 reads, 0 truncates, 226015 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (80 total secs)
0 inserts, 0 modifies, 215519 reads, 0 truncates, 215517 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (82 total secs)
0 inserts, 0 modifies, 169435 reads, 0 truncates, 169437 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (84 total secs)
0 inserts, 0 modifies, 226177 reads, 0 truncates, 226175 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (86 total secs)
0 inserts, 0 modifies, 156292 reads, 0 truncates, 156292 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (88 total secs)
0 inserts, 0 modifies, 215545 reads, 0 truncates, 215544 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (90 total secs)
0 inserts, 0 modifies, 142369 reads, 0 truncates, 142368 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (92 total secs)
0 inserts, 0 modifies, 219275 reads, 0 truncates, 219277 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (94 total secs)
0 inserts, 0 modifies, 198925 reads, 0 truncates, 198925 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (96 total secs)
0 inserts, 0 modifies, 226157 reads, 0 truncates, 226156 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (98 total secs)
0 inserts, 0 modifies, 168278 reads, 0 truncates, 168278 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (100 total secs)
0 inserts, 0 modifies, 222123 reads, 0 truncates, 222124 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (102 total secs)
0 inserts, 0 modifies, 192048 reads, 0 truncates, 192046 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (104 total secs)
0 inserts, 0 modifies, 223267 reads, 0 truncates, 223268 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (106 total secs)
0 inserts, 0 modifies, 147281 reads, 0 truncates, 147281 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (108 total secs)
0 inserts, 0 modifies, 142907 reads, 0 truncates, 142910 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (110 total secs)
0 inserts, 0 modifies, 199927 reads, 0 truncates, 199924 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (112 total secs)
0 inserts, 0 modifies, 222505 reads, 0 truncates, 222508 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (114 total secs)
0 inserts, 0 modifies, 225600 reads, 0 truncates, 225596 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (116 total secs)
0 inserts, 0 modifies, 141807 reads, 0 truncates, 141809 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (118 total secs)
0 inserts, 0 modifies, 214464 reads, 0 truncates, 214464 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (120 total secs)
0 inserts, 0 modifies, 197862 reads, 0 truncates, 197861 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (122 total secs)
0 inserts, 0 modifies, 223812 reads, 0 truncates, 223814 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (124 total secs)
0 inserts, 0 modifies, 223968 reads, 0 truncates, 223969 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (126 total secs)
0 inserts, 0 modifies, 183133 reads, 0 truncates, 183131 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (128 total secs)
0 inserts, 0 modifies, 222329 reads, 0 truncates, 222330 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (130 total secs)
0 inserts, 0 modifies, 221868 reads, 0 truncates, 221868 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (132 total secs)
0 inserts, 0 modifies, 226616 reads, 0 truncates, 226614 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (134 total secs)
0 inserts, 0 modifies, 226903 reads, 0 truncates, 226902 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (136 total secs)
0 inserts, 0 modifies, 221573 reads, 0 truncates, 221575 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (138 total secs)
0 inserts, 0 modifies, 180524 reads, 0 truncates, 180524 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (140 total secs)
0 inserts, 0 modifies, 208952 reads, 0 truncates, 208953 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (142 total secs)
0 inserts, 0 modifies, 223226 reads, 0 truncates, 223224 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (144 total secs)
0 inserts, 0 modifies, 223831 reads, 0 truncates, 223830 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (146 total secs)
